               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03841,             0.01877,           0.0080606,             0.95931,             0.93674,             0.97221,              0.5612,            0.026749,           0.0090229,            0.003185,            0.006535,            0.006535,            0.006535
                  37,            0.036505,            0.017052,           0.0069126,             0.93447,             0.91143,             0.96078,             0.50573,            0.028852,           0.0090042,           0.0048953,            0.006436,            0.006436,            0.006436
                  38,            0.035851,            0.016915,           0.0069179,              0.9415,             0.88791,             0.92864,              0.5392,            0.028631,           0.0089662,           0.0067802,            0.006337,            0.006337,            0.006337
                  39,            0.036821,            0.018728,           0.0076265,             0.92046,             0.92209,             0.93015,             0.50492,            0.028019,           0.0089424,           0.0087257,            0.006238,            0.006238,            0.006238
                  40,            0.035281,            0.018258,           0.0068733,             0.93669,             0.89369,             0.93826,              0.5707,            0.027137,           0.0090399,           0.0046061,            0.006139,            0.006139,            0.006139
                  41,            0.034581,            0.017651,            0.005357,             0.93822,             0.94012,             0.95508,             0.51722,            0.030324,           0.0088123,           0.0033788,             0.00604,             0.00604,             0.00604
                  42,            0.034958,            0.017732,           0.0068864,              0.9306,             0.91729,             0.93973,             0.49711,            0.028253,           0.0089147,           0.0032086,            0.005941,            0.005941,            0.005941
                  43,            0.034244,            0.015668,           0.0047675,             0.93813,             0.94719,             0.95883,             0.55876,            0.027552,           0.0089111,           0.0027738,            0.005842,            0.005842,            0.005842
                  44,            0.037025,            0.017797,           0.0066602,             0.89544,             0.85958,             0.91425,             0.47517,            0.027004,            0.010144,           0.0044505,            0.005743,            0.005743,            0.005743
                  45,            0.033427,            0.016695,           0.0058776,             0.96564,             0.95298,             0.97216,             0.54471,            0.027445,           0.0090122,           0.0025931,            0.005644,            0.005644,            0.005644
                  46,            0.033207,            0.016684,           0.0059107,             0.95071,             0.94664,             0.96883,             0.54003,            0.029268,           0.0092414,           0.0027604,            0.005545,            0.005545,            0.005545
                  47,            0.033593,            0.016341,            0.006011,             0.97048,             0.94234,             0.96899,             0.56658,            0.026015,           0.0091511,           0.0027796,            0.005446,            0.005446,            0.005446
                  48,            0.033272,            0.016616,           0.0064336,             0.90799,              0.9195,              0.9553,             0.57131,             0.02454,           0.0090517,           0.0025883,            0.005347,            0.005347,            0.005347
                  49,            0.031917,            0.017005,           0.0059621,             0.86632,             0.93898,              0.9452,             0.55325,            0.027859,           0.0089904,           0.0031031,            0.005248,            0.005248,            0.005248
                  50,            0.033692,            0.017476,           0.0050432,             0.96228,             0.96924,             0.96701,             0.57916,            0.024747,           0.0089845,           0.0041571,            0.005149,            0.005149,            0.005149
                  51,            0.033867,             0.01831,           0.0047056,             0.94511,             0.94969,             0.96259,             0.56745,            0.024081,           0.0090206,           0.0036037,             0.00505,             0.00505,             0.00505
                  52,             0.03311,            0.016894,           0.0046252,             0.94702,             0.95987,             0.97539,             0.59368,            0.025372,           0.0090815,           0.0028693,            0.004951,            0.004951,            0.004951
                  53,            0.031885,            0.017086,           0.0047141,             0.96326,             0.94542,             0.97002,             0.58591,            0.024767,           0.0090143,           0.0025313,            0.004852,            0.004852,            0.004852
                  54,            0.034028,            0.016887,           0.0054603,             0.94992,             0.94164,             0.96378,             0.55727,            0.025336,           0.0089851,           0.0024891,            0.004753,            0.004753,            0.004753
                  55,            0.031739,            0.017489,            0.004703,             0.96394,             0.96625,             0.97801,             0.59096,            0.024637,           0.0088638,           0.0022084,            0.004654,            0.004654,            0.004654
                  56,            0.030547,            0.016661,           0.0050394,             0.96891,              0.9363,              0.9657,             0.57229,             0.02531,            0.008706,           0.0022443,            0.004555,            0.004555,            0.004555
                  57,            0.032716,            0.015822,            0.005203,             0.95151,             0.96061,             0.97402,             0.60226,            0.025484,           0.0087839,           0.0025423,            0.004456,            0.004456,            0.004456
                  58,            0.030194,             0.01495,           0.0037242,              0.9557,             0.94936,             0.96056,             0.59869,            0.023625,           0.0086467,           0.0025042,            0.004357,            0.004357,            0.004357
